prediction;test_price
25463.19;22840.5
25794.05;22987.0
26019.24;23137.0
26144.86;23046.5
26200.15;23026.5
26164.91;22918.0
26026.27;23027.5
25907.93;23038.0
25792.54;23104.0
25620.52;23078.0
25417.55;23034.5
25209.53;22996.0
24992.7;22974.5
24772.7;23032.0
24507.32;22992.0
24246.39;22961.5
24011.89;22975.5
23784.62;22958.0
23570.61;22867.5
23395.62;22920.0
23215.74;22960.0
23028.05;22941.0
22858.52;22941.5
22698.07;22877.0
22579.07;22918.0
22455.84;22932.0
22327.4;22948.0
22196.43;23035.5
22017.37;23113.5
21793.59;23149.0
21561.19;23144.5
21337.7;23150.5
21117.9;23231.5
20870.28;23186.0
20673.49;23090.5
20575.74;23033.5
20552.89;23056.0
20551.7;23104.0
20545.62;23160.0
20516.79;23113.5
20516.04;23126.5
20528.32;23113.0
20551.98;23180.5
20553.71;23228.0
20526.18;23274.0
20388.64;22923.5
20525.6;22725.5
20800.13;22735.0
21118.58;22761.5
21444.94;22755.0
21770.06;22738.5
22085.25;22711.0
22389.3;22776.5
22636.51;22747.0
22857.14;22796.5
23020.34;22852.0
23095.76;22938.0
23096.83;22835.0
23117.94;22870.0
23110.9;22900.0
23072.53;22859.5
23028.85;22805.0
23006.1;22839.5
22973.77;22763.5
22971.98;22668.5
23023.21;22687.5
23073.56;22688.0
23135.63;22712.5
23176.32;22768.5
23167.88;22748.0
23149.01;22743.5
23124.89;22733.0
23077.0;22762.5
23001.01;22795.0
22904.12;22892.0
22658.91;22765.0
22534.61;22547.0
22513.83;22455.5
22510.59;22074.0
22729.56;21940.5
22860.54;21616.0
23235.85;21698.5
23640.0;21671.5
24040.85;21488.0
24431.15;21516.5
24760.77;21629.5
24999.74;21664.5
25119.89;21567.5
25192.43;21508.0
25222.8;21452.0
25224.02;21437.0
25183.42;21468.0
25087.5;21441.0
24950.6;21392.5
24788.63;21437.5
24577.18;21422.5
24334.94;21447.5
24050.83;21380.0
23767.19;21298.0
23510.97;21332.0
23248.26;21359.0
22968.76;21366.0
22682.86;21258.0
22439.93;21251.5
22207.13;21190.0
21990.74;21299.5
21756.42;21300.5
21534.51;21264.5
21334.77;21282.0
21138.58;21306.0
20941.44;21316.0
20745.67;21277.0
20583.97;21283.5
20436.72;21307.0
20295.99;21302.0
20172.94;21286.5
20075.78;21345.5
19953.05;21360.5
19828.4;21378.5
19700.82;21360.0
19600.69;21336.5
19534.52;21335.5
19494.93;21352.5
19452.6;21354.0
19392.85;21249.0
19462.87;21193.0
19599.0;21187.0
19766.49;21198.0
19934.02;21235.0
20064.42;21220.0
20200.6;21191.0
20349.13;21156.5
20521.08;21105.5
20724.19;21106.5
20929.32;21109.5
21134.37;21099.5
21338.57;21074.0
21547.68;21042.5
21762.63;21100.5
21905.27;21138.5
21980.6;21174.0
21987.65;21137.0
21995.11;21125.5
22001.02;21115.0
22007.33;21146.5
21982.28;21200.5
21896.05;21195.5
21798.21;21186.5
21704.84;21194.0
21604.66;21169.0
21534.49;21195.5
21446.79;21241.5
21303.81;21232.0
21154.56;21144.5
21125.88;21086.0
21180.78;21139.5
21209.03;21098.5
21271.47;21099.5
21338.5;21080.5
21410.64;21048.0
21516.37;20930.0
21697.2;20915.5
21895.74;20915.5
22101.24;21099.5
22139.62;20975.5
22212.7;20894.5
22314.06;20901.5
22407.48;20912.0
22463.47;20903.0
22533.6;20871.0
22615.06;20870.0
22695.42;20899.5
22735.59;20901.5
22762.67;20828.0
22810.31;20916.0
22792.4;20926.5
22738.25;20911.5
22682.61;20930.0
22595.54;20996.0
22439.19;20987.0
22263.45;20925.0
22152.49;20875.5
22093.99;20826.0
22089.51;20799.0
22115.98;20733.5
22185.08;20810.5
22184.66;20795.5
22188.56;20879.5
22135.54;20940.0
22035.66;20895.0
21945.48;20878.0
21861.62;20925.0
21739.69;20945.5
21602.2;20962.5
